name,price,url,image,bedrooms,sqft,address,city,state,zip
"57 Hancock St, Boston, MA 02114",12900000,https://www.realtor.com/realestateandhomes-detail/57-Hancock-St_Boston_MA_02114_M42787-06352,https://ap.rdcpix.com/db4e8c698ef9860aa7221f1ee2885df8l-m3007298637od-w480_h480_q80.jpg,5,7777,57 Hancock St,Boston,MA,02114
"98 Pleasant St Apt 2, Boston, MA 02125",399000,https://www.realtor.com/realestateandhomes-detail/98-Pleasant-St-Apt-2_Dorchester_MA_02125_M41982-37290,https://ap.rdcpix.com/474b1177b64ef8a757ef692191effff7l-b3467666897od-w480_h480_q80.jpg,1,580,98 Pleasant St Apt 2,Boston,MA,02125
"75 Hillsdale St, Boston, MA 02124",1100000,https://www.realtor.com/realestateandhomes-detail/75-Hillsdale-St_Boston_MA_02124_M35637-99140,https://ap.rdcpix.com/5f290957257c03addb4dbebe324fad1cl-w1539672470od-w480_h480_q80.jpg,4,4944,75 Hillsdale St,Boston,MA,02124
"368 W Roxbury Pkwy, Boston, MA 02132",1200000,https://www.realtor.com/realestateandhomes-detail/368-W-Roxbury-Pkwy_Boston_MA_02132_M33259-22648,https://ap.rdcpix.com/1b130f349e28f6e480a1bcfb4163c7c4l-b1432540058od-w480_h480_q80.jpg,3,2304,368 W Roxbury Pkwy,Boston,MA,02132
"14-16 Evergreen St Unit 1, Boston, MA 02130",689000,https://www.realtor.com/realestateandhomes-detail/14-16-Evergreen-St-Unit-1_Boston_MA_02130_M90867-75969,https://ap.rdcpix.com/030fa2671466088ea7b6fb898ea9c17bl-m1559296012od-w480_h480_q80.jpg,2,1000,14-16 Evergreen St Unit 1,Boston,MA,02130
"1 Dalton St Unit 5801/5802, Boston, MA 02199",38000000,https://www.realtor.com/realestateandhomes-detail/1-Dalton-St_Boston_MA_02115_M92110-87738,https://ap.rdcpix.com/80a25dd337c994e3ff3ac197f93d716bl-m3173575079od-w480_h480_q80.jpg,5,7848,1 Dalton St Unit 5801/5802,Boston,MA,02199
"111-113 Dustin St, Boston, MA 02135",1500000,https://www.realtor.com/realestateandhomes-detail/111-113-Dustin-St_Boston_MA_02135_M92744-90669,https://ap.rdcpix.com/8f2eaa993546f8199602993f615ca1c7l-m1773137209od-w480_h480_q80.jpg,8,3316,111-113 Dustin St,Boston,MA,02135
"34 Harvard St, Boston, MA 02129",3295000,https://www.realtor.com/realestateandhomes-detail/34-Harvard-St_Boston_MA_02129_M42231-26875,https://ap.rdcpix.com/c2055838a8e7e1f473014ac524be24f4l-m1190592052od-w480_h480_q80.jpg,4,4080,34 Harvard St,Boston,MA,02129
"352 Marlborough St, Boston, MA 02115",9450000,https://www.realtor.com/realestateandhomes-detail/352-Marlborough-St_Boston_MA_02115_M43178-55891,https://ap.rdcpix.com/aba75d130d25360433ed5e879d5e0be7l-m3167724913od-w480_h480_q80.jpg,4,4754,352 Marlborough St,Boston,MA,02115
"89 Newfield St, Boston, MA 02132",1675000,https://www.realtor.com/realestateandhomes-detail/89-Newfield-St_Boston_MA_02132_M32277-19126,https://ap.rdcpix.com/b861ce1af34ba41829f86db95b2f2445l-b3050666494od-w480_h480_q80.jpg,5,3509,89 Newfield St,Boston,MA,02132
"65-69 Nightingale St Unit 4B, Boston, MA 02124",269900,https://www.realtor.com/realestateandhomes-detail/65-69-Nightingale-St-Unit-4B_Boston_MA_02124_M95677-96732,https://ap.rdcpix.com/50aa384b1be931e12712c327257c17adl-m2415362415od-w480_h480_q80.jpg,2,913,65-69 Nightingale St Unit 4B,Boston,MA,02124
"160 Commonwealth Ave Apt 520, Boston, MA 02116",919000,https://www.realtor.com/realestateandhomes-detail/160-Commonwealth-Ave-Apt-520_Boston_MA_02116_M41532-33330,https://ap.rdcpix.com/ca5b52ee31b191a93ba3d4772084a4ecl-m3304097739od-w480_h480_q80.jpg,1,726,160 Commonwealth Ave Apt 520,Boston,MA,02116
"81-83 Pierce Ave Unit 3, Boston, MA 02122",409900,https://www.realtor.com/realestateandhomes-detail/81-83-Pierce-Ave-Unit-3_Boston_MA_02122_M95993-08768,https://ap.rdcpix.com/7fe7549859f901b79be5c71a49bd5134l-b2787655192od-w480_h480_q80.jpg,1,721,81-83 Pierce Ave Unit 3,Boston,MA,02122
"80-84 Shepton St Unit 80-3, Boston, MA 02124",399000,https://www.realtor.com/realestateandhomes-detail/80-84-Shepton-St-Unit-80-3_Boston_MA_02124_M93768-83678,https://ap.rdcpix.com/c2420dd06af5e451f3d2a31992d967e1l-b2441383161od-w480_h480_q80.jpg,2,969,80-84 Shepton St Unit 80-3,Boston,MA,02124
"57 Fulton St Apt 9, Boston, MA 02109",1100000,https://www.realtor.com/realestateandhomes-detail/57-Fulton-St-Apt-9_Boston_MA_02109_M36205-80573,https://ap.rdcpix.com/bab92438f0f1e83e2c8ef2584eac4f82l-m2375716644od-w480_h480_q80.jpg,2,1154,57 Fulton St Apt 9,Boston,MA,02109
"233 Commonwealth Ave Apt 2, Boston, MA 02116",689000,https://www.realtor.com/realestateandhomes-detail/233-Commonwealth-Ave-Apt-2_Boston_MA_02116_M38047-70874,https://ap.rdcpix.com/4056f799bfb650bde1e418a68b355ea5l-m1334591913od-w480_h480_q80.jpg,0,704,233 Commonwealth Ave Apt 2,Boston,MA,02116
"15 North Beacon St Apt 714, Boston, MA 02134",620000,https://www.realtor.com/realestateandhomes-detail/15-North-Beacon-St-Apt-714_Boston_MA_02134_M47710-07610,https://ap.rdcpix.com/56c6f3b58ff22e7710d34176135bc78cl-m4265046792od-w480_h480_q80.jpg,2,825,15 North Beacon St Apt 714,Boston,MA,02134
"20 Hereford St Apt 3, Boston, MA 02115",975000,https://www.realtor.com/realestateandhomes-detail/20-Hereford-St-Apt-3_Boston_MA_02115_M48880-53301,https://ap.rdcpix.com/92ce3281d8e0295d57a1bcadbabcc841l-m2722755540od-w480_h480_q80.jpg,2,743,20 Hereford St Apt 3,Boston,MA,02115
"19 Standard St Unit 2, Boston, MA 02126",650000,https://www.realtor.com/realestateandhomes-detail/19-Standard-St-2_Mattapan_MA_02126_M98187-13276,https://ap.rdcpix.com/8fa69782cc995fc9fab45a7d7cf7c448l-m1538897538od-w480_h480_q80.jpg,3,1600,19 Standard St Unit 2,Boston,MA,02126
"463 Mass Ave Apt 5, Boston, MA 02118",799900,https://www.realtor.com/realestateandhomes-detail/463-Mass-Ave-Apt-5_Boston_MA_02118_M41283-83976,https://ap.rdcpix.com/a29f2ae911de7b19c26ea94f305cbc06l-m273817976od-w480_h480_q80.jpg,2,895,463 Mass Ave Apt 5,Boston,MA,02118
"443 Poplar St, Boston, MA 02131",929000,https://www.realtor.com/realestateandhomes-detail/443-Poplar-St_Boston_MA_02131_M33053-54051,https://ap.rdcpix.com/ad6037eb71f7925a47692e1d024505ddl-m4005817262od-w480_h480_q80.jpg,3,1708,443 Poplar St,Boston,MA,02131
"43 Ainsworth St Apt 1, Boston, MA 02131",748000,https://www.realtor.com/realestateandhomes-detail/43-Ainsworth-St-Apt-1_Boston_MA_02131_M99207-96865,https://ap.rdcpix.com/83944aa16b836824a62752db35349495l-m1459373192od-w480_h480_q80.jpg,3,1375,43 Ainsworth St Apt 1,Boston,MA,02131
"103 E Brookline St Apt 1, Boston, MA 02118",359000,https://www.realtor.com/realestateandhomes-detail/103-E-Brookline-St-Apt-1_Boston_MA_02118_M31639-43800,https://ap.rdcpix.com/bb45d8040757edd9ff168d2218023205l-m1706946329od-w480_h480_q80.jpg,0,259,103 E Brookline St Apt 1,Boston,MA,02118
"10 Ruthven Park Apt 1, Boston, MA 02121",539999,https://www.realtor.com/realestateandhomes-detail/10-Ruthven-Park-Apt-1_Boston_MA_02121_M94795-79565,https://ap.rdcpix.com/8950a8e76bd846e8a761a3548e0c6f3el-m460163152od-w480_h480_q80.jpg,2,1169,10 Ruthven Park Apt 1,Boston,MA,02121
"40 Hollywood Rd, Boston, MA 02132",725000,https://www.realtor.com/realestateandhomes-detail/40-Hollywood-Rd_Boston_MA_02132_M47324-17459,https://ap.rdcpix.com/7dd48dad6e0fc260987b12b9f54fb497l-m290137364od-w480_h480_q80.jpg,3,1397,40 Hollywood Rd,Boston,MA,02132
"103 Geneva Ave, Boston, MA 02121",975000,https://www.realtor.com/realestateandhomes-detail/103-Geneva-Ave_Boston_MA_02121_M99352-91052,https://ap.rdcpix.com/60f678c8bf674836a95d5767804a95bel-m1976524872od-w480_h480_q80.jpg,8,3440,103 Geneva Ave,Boston,MA,02121
"129 Commonwealth Ave, Boston, MA 02116",24850000,https://www.realtor.com/realestateandhomes-detail/129-Commonwealth-Ave_Boston_MA_02116_M45979-79608,https://ap.rdcpix.com/d274b31c605516b4b43dcbf6ea6ceafbl-m2619838968od-w480_h480_q80.jpg,5,7880,129 Commonwealth Ave,Boston,MA,02116
"37 New Haven St, Boston, MA 02132",725000,https://www.realtor.com/realestateandhomes-detail/37-New-Haven-St_Boston_MA_02132_M41392-51601,https://ap.rdcpix.com/17dee807607eb161cdea85a152a6f325l-m1221390367od-w480_h480_q80.jpg,4,1973,37 New Haven St,Boston,MA,02132
"1149 Hyde Park Ave, Boston, MA 02136",1099000,https://www.realtor.com/realestateandhomes-detail/1149-Hyde-Park-Ave_Boston_MA_02136_M36105-86271,https://ap.rdcpix.com/da8a5b287ee2523d2126794bf47069d4l-m1104648045od-w480_h480_q80.jpg,6,2288,1149 Hyde Park Ave,Boston,MA,02136
"8 Prospect St Apt 2, Boston, MA 02129",995000,https://www.realtor.com/realestateandhomes-detail/8-Prospect-St-Apt-2_Boston_MA_02129_M31772-31506,https://ap.rdcpix.com/5cbdbeb492f5e564d23ed4c6f7f17572l-m1533038894od-w480_h480_q80.jpg,2,1259,8 Prospect St Apt 2,Boston,MA,02129
"119 Walnut St, Boston, MA 02122",719000,https://www.realtor.com/realestateandhomes-detail/119-Walnut-St_Boston_MA_02122_M31258-71305,https://ap.rdcpix.com/2cff6e0afbe761b171e817a658c426b1l-b3923065317od-w480_h480_q80.jpg,5,2004,119 Walnut St,Boston,MA,02122
"1 Westinghouse Plz Unit C328, Boston, MA 02136",569000,https://www.realtor.com/realestateandhomes-detail/1-Westinghouse-Plz-Unit-C328_Boston_MA_02136_M32371-28301,https://ap.rdcpix.com/ec71e37baf47a6e0f39bb51155cedf4al-m4104029509od-w480_h480_q80.jpg,1,1436,1 Westinghouse Plz Unit C328,Boston,MA,02136
"28 Clarendon St, Boston, MA 02116",2950000,https://www.realtor.com/realestateandhomes-detail/28-Clarendon-St_Boston_MA_02116_M41265-28170,https://ap.rdcpix.com/2166bdae88f8b68f26e7c74c319a72b4l-m2700555834od-w480_h480_q80.jpg,3,2338,28 Clarendon St,Boston,MA,02116
"6 Whittier Pl, Boston, MA 02114",40000,https://www.realtor.com/realestateandhomes-detail/6-Whittier-Pl_Boston_MA_02114_M94923-65016,https://ap.rdcpix.com/b8ba3beac6f9b1f9be77961980b21454l-m3404484095od-w480_h480_q80.jpg,,,6 Whittier Pl,Boston,MA,02114
"134 Warren Ave, Boston, MA 02136",289000,https://www.realtor.com/realestateandhomes-detail/134-Warren-Ave_Boston_MA_02136_M97659-93585,https://ap.rdcpix.com/76f494495bd0dcd5aada732657874c31l-m1357672762od-w480_h480_q80.jpg,,,134 Warren Ave,Boston,MA,02136
"15 Virgil Rd Unit 15, Boston, MA 02132",599000,https://www.realtor.com/realestateandhomes-detail/15-Virgil-Rd_Boston_MA_02132_M48941-52169,https://ap.rdcpix.com/744d28fc79b30cca73c1e40c290d822dl-m1064511078od-w480_h480_q80.jpg,2,1206,15 Virgil Rd Unit 15,Boston,MA,02132
"3 Avery St Unit 606, Boston, MA 02111",849000,https://www.realtor.com/realestateandhomes-detail/3-Avery-St-Unit-606_Boston_MA_02111_M39509-53611,https://ap.rdcpix.com/f9c5fd4841c1cb611f2d4c3eece32a97l-b2097531666od-w480_h480_q80.jpg,2,1276,3 Avery St Unit 606,Boston,MA,02111
